comments,suggestion,
Maybe more assignments could have been given so that we could practice ourselves.,CS,neutral
The tutorials were too difficult to catch up in the class itself.,CS,neutral
This course spend too much time on programming tutorial which isn't quite effective because a lot of problems arise when perform the tutorial in class.,CS,neutral
It would be helpful if there are more assignments given to students.,CS,neutral
It would better if we can learn in way that positive and negative sides the data like data mining and data data commodities.,CS,neutral
Instead of Slides reading  case based study would add more in class learning and participation.,CS,neutral
The course is mostly focusing on the business topics but if practical implementation of technology is innovated would be better.,CS,neutral
Maybe it can integrate real business case in the class and do some field trip to the company.,CS,neutral
I request the course to more interactive.,CS,neutral
A very interesting and an useful course which will help our country to feed better by implementing many government online services\nTime for intern so shoort.,CS,neutral
This subject should provide on Jan oe Aug Semester.,CS,neutral
This Course has more related to data structure and algorithms which can be used for many real life applications.,CS,neutral
Need to include some programming stuff.,CS,neutral
It would be good if we can study the algorithms from a simple programming language like python.,CS,neutral
It is one of the fundamental subjects for Computer Science students and it is really useful in real-world practices (not only in academic areas.,CS,neutral
The course material is good and I would be happy if the course contained most of the recent theories as well.,CS,neutral
Even though the material contains all the basic knowledge it would be better to have more practical knowledge.,CS,neutral
Perhaps a bit more lab work could be introduced to gain practical knowledge.,CS,neutral
We got a chance to better understand these concepts and get a glimpse of how they are implemented in real-world.,CS,neutral
If possible should add more sample application which is used in real life.,CS,neutral
Including how things are done today would have been more useful.,CS,neutral
Few assignments relating to the implementation aspect.,CS,neutral
More examples required to get a better grip on the concepts.,CS,neutral
Also if we are provided with solutions of the problems it would help in cross in checking our answers.,CS,neutral
I would have scored more if I knew the correct answers for 2 questions.,CS,neutral
the materials are really out dated.,CS,neutral
the method of teaching is poor.,CS,neutral
This course is really\nchallenging I thing it should be removed from IM syllabus.,CS,neutral
Things are not practical in this subject.,CS,neutral
This course only has Two exams Which is not a wise approach.,CS,neutral
It should have some projects and homework so the students can score.,CS,neutral
The course should contain more practical applications related to the concepts we are studying so that we would be able to visualize its real\nlife advantages.,CS,neutral
Should be more detailed.,CS,neutral
Since this subjects difficulties is already high it became more challenging as it became close book.,CS,neutral
The was very hard to follow for the students who have poor background.,CS,neutral
May be course outline should be reduced or focused more on some specific areas.,CS,neutral
So lab assistants would have been helpful.,CS,neutral
more time is required course have to be tailored to suit my background.,CS,neutral
However I think that the course should have more significant assignment works.,CS,neutral
We were assigned simple assignments.,CS,neutral
It would be interesting to work on recent events and have detailed interpretation of disasters through RS and GIS.,CS,neutral
Needed simplified explanation and practical learning.,CS,neutral
However  If there is a chance to use more advanced mapping equipment it could be very great for the students.,CS,neutral
Prepared just in time perfect for the recent technology developments.,CS,neutral
frankly the only thing I felt was immense class strength.,CS,neutral
lot of people seriously  I think this course should be offered on a first come first serve basis.,CS,neutral
course could have been much better if the material was fair enough.,CS,neutral
Excellent course for computer vision students as this course discuss many geometry algorithms which we may need during our research.,CS,neutral
This course should offer in regular semester.,CS,neutral
Tutorial should be updated so bugs will be decreased.,CS,neutral
We didnt have assignments after mid-term exam.,CS,neutral
As it is very deep subject and very hard to memories all the lecture in class at once better have video lectures also so that we can look them when we are studying and get some more information.thank-you.,CS,neutral
This course requires some basic knowledge of Python coding not just math.,CS,neutral
So should have per-requitite or pre-requirement for this course.,CS,neutral
Though course teaching method is very good it would also really help if there will be a separate basic refresher / tutorial of linear algebra / maths relevant to the course and it corresponding python code.,CS,neutral
There good aspects to the lecturer teaching and experience but I think More preparation is required for conducting lectures. ,CS,neutral
Available resources.,CS,neutral
We should think differently to answer and its very useful.,CS,neutral
Most of them contain only bullets showing the topic but no description and details in order to understand the topic itself and in class teaching many bullets/topics have been skipped or no explanation at all.,CS,neutral
The exam questions are too easy and not challenging at all.,CS,neutral
He had all the resources in hand both theoretical as well as the contents for practical work.,CS,neutral
I think he have done to the extent for improving the course.,CS,neutral
to involve more information.,CS,neutral
Please to showing something more pratical.,CS,neutral
Maybe a laboratory would help too.,CS,neutral
I understand the course more when I do my project.,CS,neutral
I do preferred to have more assignment to help me focusing on the key point of each chapter.,CS,neutral
