comment,suggestion,Sentiment
Decision Support Technologies is a required course of IM course.,NO,neutral
It is dealt as it was meant to be.,NO,neutral
very good course and it is very helpfull.,NO,positive
The course material was good.,NO,positive
Its more wide than I had expected.,NO,neutral
So I am happy to take this course and it\nhas broaden my knowledge and will also help during my thesis work.,NO,neutral
useful.,NO,neutral
Course was excellent.,NO,positive
It helped me to make better Decisions.,NO,neutral
Okay.,NO,neutral
the course has many interesting topics only overview of each topic was given could have tough a more practical approach where teaching about a data mining sofware and how to build a dss.,CS,neutral
Course is good.,NO,positive
Course was a little abstract it touched upon too many topics but not in depth.,CS,neutral
Execution of project was a little hard.,CS,neutral
We should be given more examples of models being applied in real life situations.,CS,neutral
it would give us a better understanding of where DST is being used on a global scale.,CS,neutral
course was well designed.,NO,positive
Please make the slide more expressive.,IS,neutral
GOOD.,NO,positive
It nice course.,NO,positive
The course syllabus clearly state its target topics and objectives.,NO,positive
It is also clear to student on what are the things they need to learn.,NO,neutral
So far the course syllabus is effectuve for guiding me in acquiring knowledge about digital communication.,NO,neutral
very good course.,NO,positive
Slides should be make more understable.,IS,neutral
good.,NO,positive
Assignments and homework are effective for learning.,CS,neutral
Course syllabus clearly defined learning objectives session-wise topics and readings.,NO,positive
This course is important for us.,NO,positive
Highly extensive and requires a good command on mathematical deduction and understanding.,CS,neutral
The course should include a lab class so that the student could apply it practically on the basis of what he/she has learned.,CS,neutral
The course meet my expectation.,NO,neutral
Digital Communications is the most updated course in context of the modern world.,NO,neutral
But I suggest this subject may also include the lab activities which will be effective for future.,CS,neutral
good.,NO,positive
The course was up to date.,NO,positive
It is one of the fundamental subjects for Computer Science students and helped us gain an insight into real world web-development.,NO,positive
However I believe the content of the course was a lot to cover up in just one semester.,CS,neutral
An excellent course to learn almost every part of web application engineering.,NO,positive
It is an interesting course and useful for real life in programming.,NO,positive
Give more time for basic programming learning as for many students the subject is very new,CS,neutral
Yes this course is a very good course for a beginner like me.,NO,positive
"There were errors on a few hand outs , if it''s will be corrected.",CS,neutral
If videos of hand outs made and available to students will be a extra plus.,CS,neutral
Everything is okay.,NO,neutral
But I suggest less theory and more practice.,CS,neutral
I found that the course was Rails specific.,CS,neutral
It would have been better it was a bit more generalized.,CS,neutral
The content is very modern and good.,NO,positive
could have used a dedicated textbook.,CS,neutral
I think ruby is quite not used in real work.,CS,neutral
It should be better to use other language like python.,CS,neutral
It would be better if every student is required to do an individual project.,CS,neutral
Course is good and need to add some extra material.,CS,neutral
Should show the overall first then be more scope down to be know that which part are we now. ,CS,neutral
Not very specific at the beginning.,CS,neutral
We can't bring to apply in real life so much.,CS,neutral
It will be better if we had a TA.,CS,neutral
When instructor doing the practicals in the class its really hard to follow because of his speed.,CS,neutral
This is an important course for software engineers as we get to learn about the architectural patterns and also large enterprise software architectures.,NO,positive
could use more real life examples.,CS,neutral
too much content not detail every topic.,CS,neutral
Maybe more assignments could have been given so that we could practice ourselves.,CS,neutral
The tutorials were too difficult to catch up in the class itself.,CS,neutral
Everything was fine.,NO,neutral
This course spend too much time on programming tutorial which isn't quite effective because a lot of problems arise when perform the tutorial in class.,CS,neutral
I appreciate the material of the course as it has covered almost all the related topics. ,NO,neutral
The course is also up to date with the latest version of the book.,NO,positive
It is very interesting and useful.,NO,positive
Materials are not up to date.,NO,neutral
Interesting.,NO,positive
good.,NO,positive
Ebusiness.,NO,neutral
The course is so interesting and it gives techniques to manage online businesses.,NO,positive
It would be helpful if there are more assignments given to students.,CS,neutral
The course is well organised.,NO,positive
the course is useful.,NO,positive
A very good and useful subject.,NO,positive
It would better if we can learn in way that positive and negative sides the data like data mining and data data commodities.,CS,neutral
Instead of Slides reading  case based study would add more in class learning and participation.,CS,neutral
The course is mostly focusing on the business topics but if practical implementation of technology is innovated would be better.,CS,neutral
E-business.,NO,neutral
Maybe it can integrate real business case in the class and do some field trip to the company.,CS,neutral
As per the course it is excellent and contents are fine.,NO,neutral
I request the course to more interactive.,CS,neutral
Good.,NO,positive
This course helped me a lot which incrementally increased my interest in the subject.,NO,neutral
Nice teacher and helpful.,NO,positive
Course and course materials were excellent.,NO,positive
the instructor is very professional and teach according to the level of the students.,NO,positive
very encouraging and give new ideas of research in e-gov field.,NO,positive
This class is very interesting and useful.,NO,positive
can ask us to use a e-government portal and describe as an assignment and meet government executives.,IS,neutral
good.,NO,positive
This course is very good for learning.,NO,positive
Course is very well organised.,NO,positive
The course helps us to gain knowledge in the field of ICT in government.,NO,neutral
effective in learning e-government projects.,NO,positive
Nice course.,NO,positive
Excellent.,NO,positive
It is useful course.,NO,positive
The course was very interesting and gives knowledge about various things.,NO,positive
By learning the real time examples of e-government with the help of assignments study report and also learning it from other students gave a\nclear sketch of the course. ,NO,neutral
Good.,NO,positive
Course was interesting.I came to know many things through this course and it helped me to know better about e-governments.,NO,positive
Course is perfect.,NO,positive
A very interesting and an useful course which will help our country to feed better by implementing many government online services\nTime for intern so shoort.,CS,neutral
This subject should provide on Jan oe Aug Semester.,CS,neutral
Course met my expectations.,NO,positive
The course is good.,NO,positive
I am realy satisfied from the course from /teaching methods/resource materials and other sttafs.,NO,positive
Good.,NO,positive
This Course has more related to data structure and algorithms which can be used for many real life applications.,CS,neutral
I have taken the same course in my bachelors degree.,NO,neutral
But in this semester i learned lot new things in the course.,NO,neutral
The course curriculum is awesome.,NO,positive
Few topics in the course were kind of revision from my UG and I new topics were clear.,NO,neutral
Course outline is perfect.,NO,positive
Everything we need to know in Data Structure and Algorithms is included in this course.,NO,neutral
Moreover within the given limited time it can be said that it is perfect course.,NO,neutral
Good.,NO,positive
it is ok.\nNo Comment.,NO,neutral
Need to include some programming stuff.,CS,neutral
It would be good if we can study the algorithms from a simple programming language like python.,CS,neutral
Excellent.,NO,positive
It is one of the fundamental subjects for Computer Science students and it is really useful in real-world practices (not only in academic areas.,CS,neutral
innovative.,NO,positive
The course material is good and I would be happy if the course contained most of the recent theories as well.,CS,neutral
Even though the material contains all the basic knowledge it would be better to have more practical knowledge.,CS,neutral
course 7 is a ripe field even today and I believe that all Computer Science students should have a good foundation of Data Structures.,NO,neutral
The course at AIT is very informative and gives a chance for the students to develop a strong foundation based on which one can provide any programming solutions.,NO,neutral
Perhaps a bit more lab work could be introduced to gain practical knowledge.,CS,neutral
This is a very useful and interesting course for students who are interested in data mining and the retrieval of information.,NO,positive
We got a chance to better understand these concepts and get a glimpse of how they are implemented in real-world.,CS,neutral
The course is extremely helpful for students are new to the data mining field.,NO,positive
The course are really nice and the materials are helpful towards the preset scenario of data.,NO,neutral
The theory part is useful.,NO,neutral
If possible should add more sample application which is used in real life.,CS,neutral
It is good course.,NO,positive
Including how things are done today would have been more useful.,CS,neutral
Few assignments relating to the implementation aspect.,CS,neutral
Great.,NO,positive
I do not know how this course is going to help me in my real life.,IS,neutral
all is Perfect.,NO,neutral
could be more interactive and practical with live examples.,IS,neutral
More examples required to get a better grip on the concepts.,CS,neutral
Also if we are provided with solutions of the problems it would help in cross in checking our answers.,CS,neutral
I would have scored more if I knew the correct answers for 2 questions.,CS,neutral
The followings are to be considered: .,NO,neutral
the materials are really out dated.,CS,neutral
Yes this course is a very good course for a beginner like me.,NO,positive
the method of teaching is poor.,CS,neutral
this course has helped me in finding different scenarios of work,NO,positive
This course is really\nchallenging I thing it should be removed from IM syllabus.,CS,neutral
Yes this course is a very good course for a beginner like me.,NO,positive
Things are not practical in this subject.,CS,neutral
This course only has Two exams Which is not a wise approach.,CS,neutral
It should have some projects and homework so the students can score.,CS,neutral
Good.,NO,positive
excellent.,NO,positive
A good subject!.,NO,positive
The course should contain more practical applications related to the concepts we are studying so that we would be able to visualize its real\nlife advantages.,CS,neutral
Should be more detailed.,CS,neutral
I understand this subject well because the teacher is good at teaching.,NO,positive
I have learnt both deterministic and random signals from this course.,NO,neutral
Teaching method should improve for this course.,IS,neutral
Good.,NO,positive
good.,NO,positive
Necessary for telecommunication.,NO,neutral
Since this subjects difficulties is already high it became more challenging as it became close book.,CS,neutral
The was very hard to follow for the students who have poor background.,CS,neutral
May be course outline should be reduced or focused more on some specific areas.,CS,neutral
Good.,NO,positive
signals systems and stochastic.,NO,neutral
Course is good.,NO,positive
the course was easy enough to understand and follow even though I do not do GIS at work.,NO,neutral
Perhaps in future classes with a big number of students there can be assistants to help the professors during lab sessions.,IS,neutral
This is because they were not able to effectively assist the students when they got stuck.,IS,neutral
So lab assistants would have been helpful.,CS,neutral
more time is required course have to be tailored to suit my background.,CS,neutral
NICE.,NO,neutral
Great knowledge.,NO,neutral
I think the course was really effective because all Disaster Managers should be aware of and involved in the use of RS and GIS application in Disaster Management.,NO,neutral
I learnt a great deal.,NO,positive
However I think that the course should have more significant assignment works.,CS,neutral
We were assigned simple assignments.,CS,neutral
It would be interesting to work on recent events and have detailed interpretation of disasters through RS and GIS.,CS,neutral
The course was really nice and I have learned many things about the use of GIS.,NO,neutral
The content really applicable in my country since it has equipped me with knowledge of basic GIS skill.,NO,neutral
In Fiji we lack technical expertise in\nthat field during operations.,NO,neutral
was good.,NO,positive
Separation between students level gis student more advanced in technological science than dpmm\nThe course was well organised and very relevant to DPMM.,NO,neutral
I am totally in awe of the new lessons and experience gained from the\ncourse.,NO,positive
Very informative lectures and practical lab sessions that really boosted my knowledge and understanding on the subject\nmatter.,NO,positive
The course is very important for students of all the fields and the content of the course is very interesting for me as I learned many new\nskills and things.,NO,positive
It is an interesting subject.,NO,neutral
I have learned that there are many things we need to consider to establish the communication.,NO,neutral
Assignments were effective for learning.,NO,neutral
Needed simplified explanation and practical learning.,CS,neutral
Course is well prepared and up to date.,NO,neutral
Course and instructor both are fine\ncourse was good.,NO,positive
Important topic through which we can get basics of telecommunications.,NO,positive
Good course.,NO,positive
good.,NO,positive
clear image.,NO,neutral
This course taught me a lot with real time examples which made us to explore things easily and helped us to learn things easily.,NO,positive
I am really happy to learn this subject .,NO,positive
Great New set of skills to learn and improve.,NO,positive
it is very use full time.,NO,positive
This course gives me the up-to-date mapping technologies which will be useful for the future works.,NO,positive
However  If there is a chance to use more advanced mapping equipment it could be very great for the students.,CS,neutral
Prepared just in time perfect for the recent technology developments.,CS,neutral
The course has all the data required for working on it.,NO,neutral
frankly the only thing I felt was immense class strength.,CS,neutral
lot of people seriously  I think this course should be offered on a first come first serve basis.,CS,neutral
everything looks good.,NO,neutral
The course was well structured.,NO,positive
Course is well organised.,NO,neutral
everything is fine.,NO,neutral
good.,NO,positive
The course has all the data required for working on it.,NO,neutral
it was good.,NO,positive
The course was well structured.,NO,positive
satisfactory.,NO,neutral
good .,NO,positive
just to prepare handouts with great information.,IS,neutral
Please be more clear in the form of document.,IS,neutral
Interesting.,NO,neutral
clear in diagrams.,NO,neutral
We learnt alot this helps in many things for further things and gives basic knowledge to many course too.,NO,neutral
useful for everyone.,NO,neutral
Good.,NO,positive
was a very interesting course i did enjoy every part of the course.,NO,positive
i did learn many things thankful to this course as i was able to implement them in other subhects too.,NO,positive
talking about the course was worth learning.,NO,neutral
did come across many doubts but at the end was satisfied.,IS,neutral
excellent course would suggest everyone to take this course.,NO,positive
course could have been much better if the material was fair enough.,CS,neutral
He is fine and one of the best teacher.,NO,positive
The teacher had a really good knowledge in this field.,NO,positive
He tries his best to makes sure everyone understands the subject matter well.,NO,positive
He motivates us to do discussions assignments and ask questions to better understand the subject matter.,NO,positive
He is the best out there in csim.,NO,positive
Instructor is a excellent teacher and researcher.,NO,positive
He very honest and dedicated with his job.,NO,neutral
He have a in depth knowledge of Machine vision field.,NO,neutral
He knows very well how to guide the students in their academic issues.Excellent experience of learning this course from you sir.,NO,positive
His teaching style is implementation oriented  which make easier for the students to understand not only theoretical but also implementation details of the concepts.,NO,neutral
Stay blessed!.,NO,positive
He is phenomenal in teaching.,NO,positive
Instructor is execelent.im forward to take few more courses.,NO,neutral
He is a very good teacher and while being silent he observes everyone very keenly and also very good and reasonable person.,NO,neutral
Instructor needs to focus more the oriented training towards the coding grounds.,IS,neutral
the way she taught was good and very informative.,NO,neutral
'She''s amazing.',NO,positive
The instructor was really helpful.,NO,neutral
Should explain every bullets contained in the teaching slides and give more details and also insert more details in teaching slides in order to\nenable students to study or review by themselves.,IS,neutral
The instructor should arrange some practical lab in her subject.,IS,neutral
happy with prof.,NO,neutral
Nothing much to comment on characteristics for improvement.,NO,neutral
Please give a chance to student for making their group project.,IS,neutral
was able to communicate well and reach my expectations.,NO,neutral
Great.,NO,positive
I am thankful to the instructor she has dealt the subject in an apt way that about what we actually need.,NO,neutral
One suggestion may be that can\nimprove the presenting the topics is needed for more elaboration of the topics involved.,IS,neutral
She teaches well interacts well with students.,NO,neutral
nice experience for me to learn lot of things from the professor.,NO,positive
Was very supportive in good track.,NO,neutral
Thanks for the instructions mam.,NO,neutral
Instructor is so good.,NO,positive
She is excellent Professor where we can learn a lot and discover new things.,NO,positive
Good Instructor.,NO,positive
Instructor is a well managed professor.,NO,positive
She is an upgraded professor.,NO,neutral
very good madam and student friendly she knows student very well.,NO,positive
She is very well organized and prepared for her class she has dealt the subject in an apt way that about what we actually need.,NO,positive
She is expert to handle the course.,NO,positive
She deliver well and let our mind blown and overwhelmed to the different topics.,NO,positive
Kepp it up.,NO,neutral
The instructor knows well how to arrange the course materials to teach during the semester  even the course itself is content of many other\ncourses.,NO,neutral
I liked the way each members contribution was evaluated for the project this time.,NO,neutral
need more interaction in class.,IS,neutral
Better examples since the question paper of the midterm and final exam vastly concentrated on practical applications of the topics related to subjects.,IS,neutral
Very concise in explaining the subject however could have illustrated on practical applications of every topic ,IS,neutral
She is very good and interactive with students.,NO,positive
good teacher.,NO,positive
Amazing teaching.Understands every student.Very enthusiastic.Love her teaching.,NO,positive
very good instructor.,NO,positive
she always has a practical example with her to explain the topic.,NO,positive
I expect teacher to give a rigid answer instead of giving flexibility to students to think whatever they want Teacher could support answer by some news or article.,IS,neutral
Instructor was always available and helped so much to learn many things.,NO,positive
Nice.,NO,neutral
should give feedback after exams like stick notes in the answer sheet so that the student can see and understand what he can do better to improve.,IS,neutral
I got some bored with her teaching but i learnt her teachings from projects.,IS,neutral
We were given a lot of real life examples which made the class very interesting.,NO,neutral
Class participation helped improve the experience in AIT.,NO,neutral
Instructor is a good teacher who tries to bring overall communicate of all the students during class.,NO,positive
She has tried her best to bring the good knowledge from the student.,NO,positive
The instructor teaches the subject matter well and is always willing to answer if we have questions.,NO,positive
Teaching technique is good.,NO,positive
somehow some questions have not been answered.,IS,neutral
Everything was fine.,NO,neutral
He gave us the comments about our assignments.,NO,neutral
That can help to the students to improve for next assignment.,IS,neutral
GOOD.,NO,positive
he have nice and helpful character.,NO,positive
Instructor has a good command in English.,NO,positive
I can clearly understand the flow of his lessons.,NO,neutral
Honestly the subject is really difficult because there are topics that is new to me but his excellent approach in delievring the lessons make it easier.,IS,neutral
Some of my friends even advised me to drop the subject because they say that it is really difficult but with good attitude towards learning and proper guidance of dr. Pong  the subject is easier.,IS,neutral
very good and helpful professor.,NO,positive
Instructor should try more to make students understable the subjects.,IS,neutral
good.,NO,positive
Thoroughly versed with his subject material and brings out challenging tasks and question material.,IS,neutral
He communicated clearly while teaching and interacting with students.,NO,positive
He was available to me for consultation outside the class in office hours.,NO,positive
He was organized and well-prepared for class.,NO,positive
i had great learning with him.,NO,neutral
Instructor is a very good teacher.,NO,positive
He is very much helpful & cooperative to all of the students.,NO,neutral
Once I didnt perticipate his consequtive 3 class for my accident.,NO,neutral
After that when I attended his class he helped me to make understand a whole assignment after the class time that I missed\nthose classes.,NO,neutral
He is a very kind & coopeartive teacher.,NO,positive
We like him most.,NO,positive
He is very nice cooperative and understanding.,NO,positive
Love his teaching style.,NO,positive
He should teach by giving some real-life examples of what we are studying so that the student could understand the concept better.,IS,neutral
The instructor is very kind and very patient on us.,NO,positive
He explain the lecture until we understand .,NO,neutral
Instructor taught from every perspective it was really helpful for career.,NO,positive
He is one of the best instructor I ever met.,NO,positive
The teacher has a really good knowledge in this field.,NO,positive
He tries his best to makes sure the subject matter is understood well.,NO,positive
He motivates us to participate in class.,NO,positive
Very well prepared and gave real life examples for almost all the topics and encouraged questions after every class.,NO,positive
He is very smart and intelligent.,NO,positive
He also try to explain clearly for some topic and give the example.,NO,neutral
Even some example may difficult to understand and sometimes he taught too fast.,IS,neutral
excellent.,NO,positive
He is good with students and he care about students grades.,NO,positive
Awesome.,NO,positive
He is a very good professor.,NO,positive
He is good and teaching is also very good.,NO,positive
Thank you very much sir.,NO,neutral
First I thought the course was so hectic but after some time I got your point why you kicked us in the middle of the ocean(hahaha just kidding!),IS,neutral
But you taught us swimming.,IS,neutral
could have gone in a slower paceto fast to follow for new programmers.,IS,neutral
Please write on the board darker than the past.,IS,neutral
I have to take a photo and zoom it for looking on what you''ve just written.,IS,neutral
Great teaching and evaluation methods.,NO,positive
Focus on practical implementation.,IS,neutral
You have spent so much of your time with us.,NO,neutral
Thank you.,NO,neutral
The instructor teaches the subject matter really well and is always willing to answer if we have questions.,NO,neutral
Excellent.,NO,positive
Very nice.,NO,positive
Everything was fine.,NO,neutral
Tutorials in the course website can be designed in a better way.,IS,neutral
About 70% of the tutorials were only covered.,IS,neutral
Instructor is very good about explanation the contents.,NO,positive
It is going to be better if Professor can hint students about which topic is important and should be focused more than others so the students will gain an idea about what is going to be an exam.,IS,neutral
I dont think he needs any improvement.,NO,neutral
Instructor is a good professor.,NO,positive
She is always positive towards her student and encourage more participation in the classroom.,NO,positive
The course material is very huge so sometimes she needs to rush with the study materials.,IS,neutral
Maybe we need more time for her so she can teach her good speed.,IS,neutral
Excellent Teaching.,NO,neutral
She is clearly explain for us in some topic.,NO,neutral
Great teacher.,NO,positive
Good.,NO,positive
I would like to get more clear answers in question from instructor in class.,IS,neutral
good in teaching.,NO,positive
Always helpful always available and has helped us in understanding E-Business in a very efficient manner.,NO,positive
I would like to thank you for your patience and understanding for all of us.,NO,positive
good.,NO,positive
The lecturer gives specific and distinct examples during class hours.,NO,positive
She is a good instructor.,NO,positive
The instructor is very cooperative and guiding course project and assignment related doubts.,NO,neutral
The cooperation is appreciated.,NO,neutral
She is excellent in delivering the information she has with her.,IS,neutral
Keep up the good work Instructor...,NO,positive
Very nice instructor.,NO,positive
She is good and excellent in her subject understanding.,NO,positive
Teaching slowly and with other materials apart from slides would help a lot.,IS,neutral
Only reading slides is not enough for learning.,IS,neutral
instructor is well up to date with the sylabuss.,IS,neutral
very much updated with all the new techs and provides us with good feedback whenever we make mistakes.,NO,neutral
satisfied from the method of teaching.,NO,neutral
Professor should return assignments back to students with some comments and scores.,IS,neutral
We didnt get to see our assignments scores and feedback to learn from our mistakes and improve in the future.,IS,neutral
I am satisfied with Instructors way of teaching can be little practical when explaining other than that a very good teacher who as knowledge in the subject.,IS,neutral
Maam helped me learn a lot about the e- government situation of my country like in my topic of Railway system for India.,NO,positive
I am proud of the current services being offered in my country and would like to help and improve these services at some point.,NO,neutral
She can collaborate knowledge sharing among students and her.,IS,neutral
Instructor is excellent in her teaching.,NO,positive
Some topics and discussions in the class I waited to hear the answer and summary but its quite rarely happened.,IS,neutral
Instructor was very much supportive convincing in delivering the topics.,NO,positive
Her teachings were very effective to get an idea of the whole concept.,NO,neutral
Excellent.,NO,positive
Good.,NO,positive
The assignments and reading and also case studies that are presented in class are very much useful to improve my knowledge on other parts of e-government.,NO,neutral
a very good and an understanding instructor.,NO,positive
She relates a lot with practical examples.,NO,neutral
The way of involving students to get insight of subject by giving real time examples assignments study report and also getting other students\nviews and opinions about certain topic was very effective and easy method of learning from our Professor.,NO,positive
She so nice instructor.,NO,positive
Nice learning.,NO,positive
Thank you for the knowledge that you shared to us Instructor.,NO,positive
good in teaching.,NO,positive
Mam is too good.,NO,positive
Everything to compliment.,NO,positive
Good.,NO,positive
She is good and no comments on her characteristics.,NO,neutral
Thank you so much for your hard work and effort during the class.,NO,neutral
teaching style was great.,NO,positive
use simple examples to teach complex ideas\nTry to incorporate more practical stuff.,IS,neutral
Instructor explained the class in well mannered way.,NO,positive
He communicated to the students even after the class for all the doubts and clarifications\nHe has great teaching skills.,IS,neutral
He gives examples that are easy to understand.,IS,neutral
He is very excellent in teaching and delivering the information he has with him to students.,NO,positive
The teacher had a really good knowledge in this field.,NO,positive
He tries his best to make sure everyone understands the subject matter well.,NO,positive
He motivates us to do group discussions and practice questions to better understand the subject matter.,NO,positive
Very well prepared and gave real life examples for almost all the topics and encouraged questions after every class.,NO,positive
Instructor is well versed with the subject matter and also teaches with full vigor and enthusiasm.,NO,neutral
All the questions I had were replied by the professor to my full satisfaction.,NO,neutral
Instructor is a very hardworking in terms of teaching and making students understand the materials.,NO,positive
He is really hard working and the way he teaches us makes the class interactive.,NO,positive
He is very kind in attitude wise and equally dedicated to his work.,NO,positive
Even for people without CS background he explained very well to understand the subject concept.,NO,positive
He is very kind in attitude wise and equally dedicated to his work.,NO,positive
Learn a lot From you sir.,NO,neutral
May Allah bless you a very good health.,NO,positive
Always stay blessed.,NO,positive
Best Teacher.,NO,positive
Continue the same pace.,NO,neutral
More examples and exercises should be given in class as well as homework to the students.,IS,neutral
This will help in practicing for the exams.,IS,neutral
There should be no tolerance for cheating in the exams but I understand that they (cheaters) are very discreet.,IS,neutral
Instructor is very interactive towards the students.,NO,positive
He encourages the class interaction and make the study material more interesting.,IS,neutral
He gives us many examples which makes it more interesting.,NO,positive
He is always available to answer our questions.,IS,neutral
Thank you sir.,NO,neutral
The teacher had a really good knowledge in this field.,NO,positive
He tries his best to make sure everyone understands the subject matter well.,NO,positive
He motivates us to do group discussions and practice questions to better understand the subject matter.,NO,positive
Very well prepared and gave real life examples for almost all the topics and encouraged questions after every class.,NO,positive
The instructor should explain in his own language about the concepts he is going to teach rather than dictating line by line from the handout.,IS,neutral
He communicated clearly while teaching and interacting with students.,NO,neutral
He is a good instructor.,NO,positive
Should explain in more detail rather than reading out the handouts.,IS,neutral
Should improve the skill to make student understand the lectures.,IS,neutral
I would like to request the marking system to be more liberal if it is closed book or reduced the difficulties.,IS,neutral
good professor.,NO,positive
He is good.,NO,positive
Good.,NO,positive
Good.,NO,positive
good.,NO,positive
GOOD.,NO,positive
he has nice and helpful character.,NO,positive
Instructor has a good command in English.,NO,neutral
I can clearly understand the flow of his lessons.,NO,neutral
Honestly the subject is really difficult because there are topics that is new to me but his excellent approach in delivering the lessons make it easier. ,IS,neutral
Some of my friends even advised me to drop the subject because they say that it is really difficult but with good attitude towards learning and proper guidance of dr. Pong  the subject is easier.,IS,neutral
very good and helpful professor.,NO,positive
Instructor should try more to make students understand the subjects.,IS,neutral
good.,NO,positive
Thoroughly versed with his subject material and brings out challenging tasks and question material.,IS,neutral
He communicated clearly while teaching and interacting with students.,NO,neutral
He was available to me for consultation outside the class in office hours.,NO,positive
He was organized and well-prepared for class.,NO,positive
I had great learning with him.,NO,positive
Instructor is a very good teacher.,NO,positive
He is very much helpful & cooperative to all of the students.,NO,positive
Once I didnt participate in his consecutive 3 class for my accident.,IS,neutral
After that when I attended his class he helped me to understand a whole assignment after the class time that I missed those classes.,NO,positive
He is a very kind & cooperative teacher.,NO,positive
We like him most.,NO,positive
He is very nice cooperative and understanding.,NO,positive
Love his teaching style.,NO,positive
He should teach by giving some real-life examples of what we are studying so that the student could understand the concept better.,IS,neutral
The instructor is very kind and very patient with us.,NO,positive
He explain the lecture until we understand .,NO,positive
Interactive and helpful.,NO,positive
Was very clear and encouraged students to respect the classroom environment.,NO,neutral
covered only one class in the overall semester and the class was an introductory.,IS,neutral
VERY GOOD.,NO,positive
This time we got only a few classes of Dr  we hope to get more classes from him.,IS,neutral
Qualified.,NO,neutral
Knowledgeable.,NO,neutral
Clear with his instruction.,NO,positive
Dr was well equipped with the necessary skills knowledge and experience need for the effective execution of the course.,NO,positive
Even though Dr Miyazaki took us for most of the sessions Dr contributions during his session boosted our knowledge and understanding on Remote Sensing and GIS.,IS,neutral
Their expertise and knowledge on the subject made learning interesting.,NO,positive
he was a good lecturer.,NO,positive
Good.,NO,positive
Excellent.,NO,positive
He communicated clearly while teaching and interacting with students.,NO,positive
He was available to me for consultation outside the class in office hours.,NO,positive
He was organized and well-prepared for class.,NO,neutral
His feedback on assignments helped me in learning and perform better in the course.,NO,positive
He is smart and kind person.,NO,positive
good.,NO,positive
Good instructor.,NO,positive
Continue the same way.He was great in delivering concepts.,NO,positive
Gave us plenty of examples to work on in order to get perfection in subject.,IS,neutral
I love learning form the instructor.,NO,positive
He is always well prepared and updated in the subject matter.,NO,positive
All in all a perfect instructor to learn from.,NO,positive
Instructor was good.,NO,positive
Great New and intelligent instructor.,NO,positive
more clear in explaining.,NO,positive
Sir has helped us a lot by demonstrating with more real time examples so that we can learn things easily.,NO,positive
nice.,NO,neutral
Discussed very interesting and advanced topics.,NO,neutral
Hope there will be some more.,IS,neutral
in my opinion the instructor has full knowledge on what he teaches to the students and he is well organized and has great assessment\ntechniques in this subject both in theory and practical part.,IS,neutral
I think students need to be checking their mail quite often for information nothing more can be done from instructor side.,IS,neutral
very cool person but just to teach with responsibility.,IS,neutral
all good.,NO,positive
good.,NO,positive
in my opinion the instructor has full knowledge on what he teaches to the students and he is well organized and has great assessment\ntechniques in this subject both in theory and practical part.,NO,positive
well prepared.,NO,positive
