comment,Sentiment
The course meet my expectation.,neutral
Digital Communications is the most updated course in context of the modern world.,neutral
But I suggest this subject may also include the lab activities which will be effective for future.,CS
Give more time for basic programming learning as for many students the subject is very new,CS
Yes this course is a very good course for a beginner like me.,positive
"There were errors on a few hand outs , if it''s will be corrected.",CS
If videos of hand outs made and available to students will be a extra plus.,CS
Everything is okay.,neutral
But I suggest less theory and more practice.,CS
I found that the course was Rails specific.,CS
It would have been better it was a bit more generalized.,CS
The content is very modern and good.,positive
could have used a dedicated textbook.,CS
I think ruby is quite not used in real work.,CS
It should be better to use other language like python.,CS
It would be better if every student is required to do an individual project.,CS
Course is good and need to add some extra material.,CS
Should show the overall first then be more scope down to be know that which part are we now. ,CS
Not very specific at the beginning.,CS
We can't bring to apply in real life so much.,CS
It will be better if we had a TA.,CS
When instructor doing the practicals in the class its really hard to follow because of his speed.,CS
This is an important course for software engineers as we get to learn about the architectural patterns and also large enterprise software architectures.,positive
could use more real life examples.,CS
too much content not detail every topic.,CS
Maybe more assignments could have been given so that we could practice ourselves.,CS
The tutorials were too difficult to catch up in the class itself.,CS
Everything was fine.,neutral
This course spend too much time on programming tutorial which isn't quite effective because a lot of problems arise when perform the tutorial in class.,CS
I appreciate the material of the course as it has covered almost all the related topics. ,neutral
Materials are not up to date.,neutral
Ebusiness.,neutral
The course is so interesting and it gives techniques to manage online businesses.,positive
It would be helpful if there are more assignments given to students.,CS
The course is well organised.,positive
the course is useful.,positive
A very good and useful subject.,positive
It would better if we can learn in way that positive and negative sides the data like data mining and data data commodities.,CS
Instead of Slides reading  case based study would add more in class learning and participation.,CS
The course is mostly focusing on the business topics but if practical implementation of technology is innovated would be better.,CS
E-business.,neutral
Maybe it can integrate real business case in the class and do some field trip to the company.,CS
As per the course it is excellent and contents are fine.,neutral
I request the course to more interactive.,CS
Good.,positive
This course helped me a lot which incrementally increased my interest in the subject.,neutral
Nice teacher and helpful.,positive
Course and course materials were excellent.,positive
the instructor is very professional and teach according to the level of the students.,positive
very encouraging and give new ideas of research in e-gov field.,positive
This class is very interesting and useful.,positive
can ask us to use a e-government portal and describe as an assignment and meet government executives.,IS
The course helps us to gain knowledge in the field of ICT in government.,neutral
effective in learning e-government projects.,positive
The course was very interesting and gives knowledge about various things.,positive
By learning the real time examples of e-government with the help of assignments study report and also learning it from other students gave a\nclear sketch of the course. ,neutral
A very interesting and an useful course which will help our country to feed better by implementing many government online services\nTime for intern so shoort.,CS
This subject should provide on Jan oe Aug Semester.,CS
Course met my expectations.,positive
The course is good.,positive
I am realy satisfied from the course from /teaching methods/resource materials and other sttafs.,positive
Good.,positive
This Course has more related to data structure and algorithms which can be used for many real life applications.,CS
I have taken the same course in my bachelors degree.,neutral
But in this semester i learned lot new things in the course.,neutral
The course curriculum is awesome.,positive
Few topics in the course were kind of revision from my UG and I new topics were clear.,neutral
Course outline is perfect.,positive
Everything we need to know in Data Structure and Algorithms is included in this course.,neutral
Moreover within the given limited time it can be said that it is perfect course.,neutral
Good.,positive
it is ok.\nNo Comment.,neutral
Need to include some programming stuff.,CS
It would be good if we can study the algorithms from a simple programming language like python.,CS
Excellent.,positive
It is one of the fundamental subjects for Computer Science students and it is really useful in real-world practices (not only in academic areas.,CS
innovative.,positive
The course material is good and I would be happy if the course contained most of the recent theories as well.,CS
Even though the material contains all the basic knowledge it would be better to have more practical knowledge.,CS
course 7 is a ripe field even today and I believe that all Computer Science students should have a good foundation of Data Structures.,neutral
The course at AIT is very informative and gives a chance for the students to develop a strong foundation based on which one can provide any programming solutions.,neutral
Perhaps a bit more lab work could be introduced to gain practical knowledge.,CS
This is a very useful and interesting course for students who are interested in data mining and the retrieval of information.,positive
We got a chance to better understand these concepts and get a glimpse of how they are implemented in real-world.,CS
The course is extremely helpful for students are new to the data mining field.,positive
The course are really nice and the materials are helpful towards the preset scenario of data.,neutral
The theory part is useful.,neutral
If possible should add more sample application which is used in real life.,CS
It is good course.,positive
Including how things are done today would have been more useful.,CS
Few assignments relating to the implementation aspect.,CS
I do not know how this course is going to help me in my real life.,IS
all is Perfect.,neutral
could be more interactive and practical with live examples.,IS
More examples required to get a better grip on the concepts.,CS
Also if we are provided with solutions of the problems it would help in cross in checking our answers.,CS
I would have scored more if I knew the correct answers for 2 questions.,CS
The followings are to be considered: .,neutral
the materials are really out dated.,CS
Yes this course is a very good course for a beginner like me.,positive
the method of teaching is poor.,CS
this course has helped me in finding different scenarios of work,positive
This course is really\nchallenging I thing it should be removed from IM syllabus.,CS
Yes this course is a very good course for a beginner like me.,positive
Things are not practical in this subject.,CS
This course only has Two exams Which is not a wise approach.,CS
It should have some projects and homework so the students can score.,CS
excellent.,positive
A good subject!.,positive
The course should contain more practical applications related to the concepts we are studying so that we would be able to visualize its real\nlife advantages.,CS
Should be more detailed.,CS
I understand this subject well because the teacher is good at teaching.,positive
I have learnt both deterministic and random signals from this course.,neutral
Teaching method should improve for this course.,IS
Necessary for telecommunication.,neutral
Since this subjects difficulties is already high it became more challenging as it became close book.,CS
The was very hard to follow for the students who have poor background.,CS
May be course outline should be reduced or focused more on some specific areas.,CS
Good.,positive
signals systems and stochastic.,neutral
Course is good.,positive
the course was easy enough to understand and follow even though I do not do GIS at work.,neutral
Perhaps in future classes with a big number of students there can be assistants to help the professors during lab sessions.,IS
This is because they were not able to effectively assist the students when they got stuck.,IS
So lab assistants would have been helpful.,CS
more time is required course have to be tailored to suit my background.,CS
NICE.,neutral
Great knowledge.,neutral
I think the course was really effective because all Disaster Managers should be aware of and involved in the use of RS and GIS application in Disaster Management.,neutral
I learnt a great deal.,positive
However I think that the course should have more significant assignment works.,CS
We were assigned simple assignments.,CS
It would be interesting to work on recent events and have detailed interpretation of disasters through RS and GIS.,CS
The course was really nice and I have learned many things about the use of GIS.,neutral
The content really applicable in my country since it has equipped me with knowledge of basic GIS skill.,neutral
In Fiji we lack technical expertise in\nthat field during operations.,neutral
was good.,positive
Separation between students level gis student more advanced in technological science than dpmm\nThe course was well organised and very relevant to DPMM.,neutral
I am totally in awe of the new lessons and experience gained from the\ncourse.,positive
Very informative lectures and practical lab sessions that really boosted my knowledge and understanding on the subject\nmatter.,positive
The course is very important for students of all the fields and the content of the course is very interesting for me as I learned many new\nskills and things.,positive
It is an interesting subject.,neutral
I have learned that there are many things we need to consider to establish the communication.,neutral
Assignments were effective for learning.,neutral
Needed simplified explanation and practical learning.,CS
Course is well prepared and up to date.,neutral
Course and instructor both are fine\ncourse was good.,positive
Important topic through which we can get basics of telecommunications.,positive
Good course.,positive
clear image.,neutral
This course taught me a lot with real time examples which made us to explore things easily and helped us to learn things easily.,positive
I am really happy to learn this subject .,positive
This course gives me the up-to-date mapping technologies which will be useful for the future works.,positive
However  If there is a chance to use more advanced mapping equipment it could be very great for the students.,CS
Prepared just in time perfect for the recent technology developments.,CS
The course has all the data required for working on it.,neutral
frankly the only thing I felt was immense class strength.,CS
lot of people seriously  I think this course should be offered on a first come first serve basis.,CS
everything looks good.,neutral
The course was well structured.,positive
Course is well organised.,neutral
everything is fine.,neutral
The course has all the data required for working on it.,neutral
it was good.,positive
The course was well structured.,positive
satisfactory.,neutral
good .,positive
just to prepare handouts with great information.,IS
Please be more clear in the form of document.,IS
Interesting.,neutral
clear in diagrams.,neutral
We learnt alot this helps in many things for further things and gives basic knowledge to many course too.,neutral
useful for everyone.,neutral
was a very interesting course i did enjoy every part of the course.,positive
i did learn many things thankful to this course as i was able to implement them in other subhects too.,positive
talking about the course was worth learning.,neutral
did come across many doubts but at the end was satisfied.,IS
excellent course would suggest everyone to take this course.,positive
course could have been much better if the material was fair enough.,CS
He is fine and one of the best teacher.,positive
The teacher had a really good knowledge in this field.,positive
He tries his best to makes sure everyone understands the subject matter well.,positive
He motivates us to do discussions assignments and ask questions to better understand the subject matter.,positive
He is the best out there in csim.,positive
Instructor is a excellent teacher and researcher.,positive
He very honest and dedicated with his job.,neutral
He have a in depth knowledge of Machine vision field.,neutral
He knows very well how to guide the students in their academic issues.Excellent experience of learning this course from you sir.,positive
His teaching style is implementation oriented  which make easier for the students to understand not only theoretical but also implementation details of the concepts.,neutral
Stay blessed!.,positive
He is phenomenal in teaching.,positive
Instructor is execelent.im forward to take few more courses.,neutral
He is a very good teacher and while being silent he observes everyone very keenly and also very good and reasonable person.,neutral
Instructor needs to focus more the oriented training towards the coding grounds.,IS
the way she taught was good and very informative.,neutral
'She''s amazing.',positive
The instructor was really helpful.,neutral
Should explain every bullets contained in the teaching slides and give more details and also insert more details in teaching slides in order to\nenable students to study or review by themselves.,IS
The instructor should arrange some practical lab in her subject.,IS
happy with prof.,neutral
Nothing much to comment on characteristics for improvement.,neutral
Please give a chance to student for making their group project.,IS
was able to communicate well and reach my expectations.,neutral
Great.,positive
I am thankful to the instructor she has dealt the subject in an apt way that about what we actually need.,neutral
One suggestion may be that can\nimprove the presenting the topics is needed for more elaboration of the topics involved.,IS
She teaches well interacts well with students.,neutral
nice experience for me to learn lot of things from the professor.,positive
Was very supportive in good track.,neutral
Thanks for the instructions mam.,neutral
Instructor is so good.,positive
She is excellent Professor where we can learn a lot and discover new things.,positive
Good Instructor.,positive
Instructor is a well managed professor.,positive
She is an upgraded professor.,neutral
very good madam and student friendly she knows student very well.,positive
She is very well organized and prepared for her class she has dealt the subject in an apt way that about what we actually need.,positive
She is expert to handle the course.,positive
She deliver well and let our mind blown and overwhelmed to the different topics.,positive
Kepp it up.,neutral
The instructor knows well how to arrange the course materials to teach during the semester  even the course itself is content of many other\ncourses.,neutral
I liked the way each members contribution was evaluated for the project this time.,neutral
need more interaction in class.,IS
Better examples since the question paper of the midterm and final exam vastly concentrated on practical applications of the topics related to subjects.,IS
Very concise in explaining the subject however could have illustrated on practical applications of every topic ,IS
Amazing teaching.Understands every student.Very enthusiastic.Love her teaching.,positive
she always has a practical example with her to explain the topic.,positive
I expect teacher to give a rigid answer instead of giving flexibility to students to think whatever they want Teacher could support answer by some news or article.,IS
Instructor was always available and helped so much to learn many things.,positive
Nice.,neutral
should give feedback after exams like stick notes in the answer sheet so that the student can see and understand what he can do better to improve.,IS
I got some bored with her teaching but i learnt her teachings from projects.,IS
We were given a lot of real life examples which made the class very interesting.,neutral
Class participation helped improve the experience in AIT.,neutral
Instructor is a good teacher who tries to bring overall communicate of all the students during class.,positive
Teaching technique is good.,positive
somehow some questions have not been answered.,IS
Everything was fine.,neutral
He gave us the comments about our assignments.,neutral
That can help to the students to improve for next assignment.,IS
he have nice and helpful character.,positive
Instructor has a good command in English.,positive
I can clearly understand the flow of his lessons.,neutral
Honestly the subject is really difficult because there are topics that is new to me but his excellent approach in delievring the lessons make it easier.,IS
Some of my friends even advised me to drop the subject because they say that it is really difficult but with good attitude towards learning and proper guidance of dr. Pong  the subject is easier.,IS
very good and helpful professor.,positive
Instructor should try more to make students understable the subjects.,IS
Thoroughly versed with his subject material and brings out challenging tasks and question material.,IS
He was available to me for consultation outside the class in office hours.,positive
He was organized and well-prepared for class.,positive
i had great learning with him.,neutral
Instructor is a very good teacher.,positive
He is very much helpful & cooperative to all of the students.,neutral
Once I didnt perticipate his consequtive 3 class for my accident.,neutral
After that when I attended his class he helped me to make understand a whole assignment after the class time that I missed\nthose classes.,neutral
He is a very kind & coopeartive teacher.,positive
He is very nice cooperative and understanding.,positive
Love his teaching style.,positive
He should teach by giving some real-life examples of what we are studying so that the student could understand the concept better.,IS
The instructor is very kind and very patient on us.,positive
He explain the lecture until we understand .,neutral
Instructor taught from every perspective it was really helpful for career.,positive
He is one of the best instructor I ever met.,positive
The teacher has a really good knowledge in this field.,positive
He tries his best to makes sure the subject matter is understood well.,positive
He also try to explain clearly for some topic and give the example.,neutral
Even some example may difficult to understand and sometimes he taught too fast.,IS
excellent.,positive
He is good with students and he care about students grades.,positive
He is good and teaching is also very good.,positive
Thank you very much sir.,neutral
First I thought the course was so hectic but after some time I got your point why you kicked us in the middle of the ocean(hahaha just kidding!),IS
But you taught us swimming.,IS
could have gone in a slower paceto fast to follow for new programmers.,IS
Please write on the board darker than the past.,IS
I have to take a photo and zoom it for looking on what you''ve just written.,IS
Great teaching and evaluation methods.,positive
Focus on practical implementation.,IS
You have spent so much of your time with us.,neutral
Thank you.,neutral
The instructor teaches the subject matter really well and is always willing to answer if we have questions.,neutral
Excellent.,positive
Very nice.,positive
Everything was fine.,neutral
Tutorials in the course website can be designed in a better way.,IS
About 70% of the tutorials were only covered.,IS
Instructor is very good about explanation the contents.,positive
It is going to be better if Professor can hint students about which topic is important and should be focused more than others so the students will gain an idea about what is going to be an exam.,IS
I dont think he needs any improvement.,neutral
Instructor is a good professor.,positive
She is always positive towards her student and encourage more participation in the classroom.,positive
The course material is very huge so sometimes she needs to rush with the study materials.,IS
Maybe we need more time for her so she can teach her good speed.,IS
Excellent Teaching.,neutral
She is clearly explain for us in some topic.,neutral
Great teacher.,positive
Good.,positive
I would like to get more clear answers in question from instructor in class.,IS
good in teaching.,positive
Always helpful always available and has helped us in understanding E-Business in a very efficient manner.,positive
I would like to thank you for your patience and understanding for all of us.,positive
good.,positive
The lecturer gives specific and distinct examples during class hours.,positive
She is a good instructor.,positive
The instructor is very cooperative and guiding course project and assignment related doubts.,neutral
The cooperation is appreciated.,neutral
She is excellent in delivering the information she has with her.,IS
Keep up the good work Instructor...,positive
Very nice instructor.,positive
She is good and excellent in her subject understanding.,positive
Teaching slowly and with other materials apart from slides would help a lot.,IS
Only reading slides is not enough for learning.,IS
instructor is well up to date with the sylabuss.,IS
very much updated with all the new techs and provides us with good feedback whenever we make mistakes.,neutral
satisfied from the method of teaching.,neutral
Professor should return assignments back to students with some comments and scores.,IS
We didnt get to see our assignments scores and feedback to learn from our mistakes and improve in the future.,IS
I am satisfied with Instructors way of teaching can be little practical when explaining other than that a very good teacher who as knowledge in the subject.,IS
Maam helped me learn a lot about the e- government situation of my country like in my topic of Railway system for India.,positive
I am proud of the current services being offered in my country and would like to help and improve these services at some point.,neutral
She can collaborate knowledge sharing among students and her.,IS
Instructor is excellent in her teaching.,positive
Some topics and discussions in the class I waited to hear the answer and summary but its quite rarely happened.,IS
Instructor was very much supportive convincing in delivering the topics.,positive
Her teachings were very effective to get an idea of the whole concept.,neutral
Excellent.,positive
Good.,positive
The assignments and reading and also case studies that are presented in class are very much useful to improve my knowledge on other parts of e-government.,neutral
a very good and an understanding instructor.,positive
She relates a lot with practical examples.,neutral
The way of involving students to get insight of subject by giving real time examples assignments study report and also getting other students\nviews and opinions about certain topic was very effective and easy method of learning from our Professor.,positive
She so nice instructor.,positive
Nice learning.,positive
Thank you for the knowledge that you shared to us Instructor.,positive
good in teaching.,positive
Mam is too good.,positive
Everything to compliment.,positive
Good.,positive
She is good and no comments on her characteristics.,neutral
Thank you so much for your hard work and effort during the class.,neutral
teaching style was great.,positive
use simple examples to teach complex ideas\nTry to incorporate more practical stuff.,IS
Instructor explained the class in well mannered way.,positive
He communicated to the students even after the class for all the doubts and clarifications\nHe has great teaching skills.,IS
He gives examples that are easy to understand.,IS
He is very excellent in teaching and delivering the information he has with him to students.,positive
The teacher had a really good knowledge in this field.,positive
He tries his best to make sure everyone understands the subject matter well.,positive
He motivates us to do group discussions and practice questions to better understand the subject matter.,positive
Very well prepared and gave real life examples for almost all the topics and encouraged questions after every class.,positive
Instructor is well versed with the subject matter and also teaches with full vigor and enthusiasm.,neutral
All the questions I had were replied by the professor to my full satisfaction.,neutral
Instructor is a very hardworking in terms of teaching and making students understand the materials.,positive
He is really hard working and the way he teaches us makes the class interactive.,positive
He is very kind in attitude wise and equally dedicated to his work.,positive
Even for people without CS background he explained very well to understand the subject concept.,positive
He is very kind in attitude wise and equally dedicated to his work.,positive
Learn a lot From you sir.,neutral
May Allah bless you a very good health.,positive
Always stay blessed.,positive
Best Teacher.,positive
Continue the same pace.,neutral
More examples and exercises should be given in class as well as homework to the students.,IS
This will help in practicing for the exams.,IS
There should be no tolerance for cheating in the exams but I understand that they (cheaters) are very discreet.,IS
Instructor is very interactive towards the students.,positive
He encourages the class interaction and make the study material more interesting.,IS
He gives us many examples which makes it more interesting.,positive
He is always available to answer our questions.,IS
Thank you sir.,neutral
The teacher had a really good knowledge in this field.,positive
He tries his best to make sure everyone understands the subject matter well.,positive
He motivates us to do group discussions and practice questions to better understand the subject matter.,positive
Very well prepared and gave real life examples for almost all the topics and encouraged questions after every class.,positive
The instructor should explain in his own language about the concepts he is going to teach rather than dictating line by line from the handout.,IS
He communicated clearly while teaching and interacting with students.,neutral
He is a good instructor.,positive
Should explain in more detail rather than reading out the handouts.,IS
Should improve the skill to make student understand the lectures.,IS
I would like to request the marking system to be more liberal if it is closed book or reduced the difficulties.,IS
good professor.,positive
He is good.,positive
Good.,positive
he has nice and helpful character.,positive
Instructor has a good command in English.,neutral
I can clearly understand the flow of his lessons.,neutral
Honestly the subject is really difficult because there are topics that is new to me but his excellent approach in delivering the lessons make it easier. ,IS
Some of my friends even advised me to drop the subject because they say that it is really difficult but with good attitude towards learning and proper guidance of dr. Pong  the subject is easier.,IS
very good and helpful professor.,positive
Instructor should try more to make students understand the subjects.,IS
good.,positive
Thoroughly versed with his subject material and brings out challenging tasks and question material.,IS
He communicated clearly while teaching and interacting with students.,neutral
He was available to me for consultation outside the class in office hours.,positive
He was organized and well-prepared for class.,positive
I had great learning with him.,positive
Instructor is a very good teacher.,positive
He is very much helpful & cooperative to all of the students.,positive
Once I didnt participate in his consecutive 3 class for my accident.,IS
After that when I attended his class he helped me to understand a whole assignment after the class time that I missed those classes.,positive
He is a very kind & cooperative teacher.,positive
He is very nice cooperative and understanding.,positive
Love his teaching style.,positive
He should teach by giving some real-life examples of what we are studying so that the student could understand the concept better.,IS
The instructor is very kind and very patient with us.,positive
He explain the lecture until we understand .,positive
Interactive and helpful.,positive
Was very clear and encouraged students to respect the classroom environment.,neutral
covered only one class in the overall semester and the class was an introductory.,IS
VERY GOOD.,positive
This time we got only a few classes of Dr  we hope to get more classes from him.,IS
Qualified.,neutral
Knowledgeable.,neutral
Clear with his instruction.,positive
Dr was well equipped with the necessary skills knowledge and experience need for the effective execution of the course.,positive
Even though Dr Miyazaki took us for most of the sessions Dr contributions during his session boosted our knowledge and understanding on Remote Sensing and GIS.,IS
Their expertise and knowledge on the subject made learning interesting.,positive
He communicated clearly while teaching and interacting with students.,positive
He was available to me for consultation outside the class in office hours.,positive
He was organized and well-prepared for class.,neutral
His feedback on assignments helped me in learning and perform better in the course.,positive
He is smart and kind person.,positive
Continue the same way.He was great in delivering concepts.,positive
Gave us plenty of examples to work on in order to get perfection in subject.,IS
I love learning form the instructor.,positive
He is always well prepared and updated in the subject matter.,positive
Great New and intelligent instructor.,positive
more clear in explaining.,positive
Sir has helped us a lot by demonstrating with more real time examples so that we can learn things easily.,positive
nice.,neutral
Discussed very interesting and advanced topics.,neutral
Hope there will be some more.,IS
in my opinion the instructor has full knowledge on what he teaches to the students and he is well organized and has great assessment\ntechniques in this subject both in theory and practical part.,IS
I think students need to be checking their mail quite often for information nothing more can be done from instructor side.,IS
very cool person but just to teach with responsibility.,IS
all good.,positive
in my opinion the instructor has full knowledge on what he teaches to the students and he is well organized and has great assessment\ntechniques in this subject both in theory and practical part.,positive
the instructor was informative.,positive
he introduced to new technologies is really good but providing some overview methods of that technologies would encourage students for future study and practices.,IS
The contents should be used more in a practical manner.,IS
characteristics of instructor were good.,positive
Please more attractive for the class not only sit and explaining based on your slide.,IS
He is an amazing Teacher who teach with full dedication and devotion.,positive
Teaching style of the Professor is wonderful and very professional.,positive
He very honest with his job.,positive
He reads the face of students and get an idea either the students understand the lecture or not.,positive
Stay blessed sir.,positive
Excellent course for computer vision students as this course discuss many geometry algorithms which we may need during our research.,CS
This course should offer in regular semester.,CS
Everything was fine.,neutral
Tutorial should be updated so bugs will be decreased.,CS
Course is useful to me.,neutral
We didnt have assignments after mid-term exam.,CS
I think the assignments help us alot for the exam.,positive
As it is very deep subject and very hard to memories all the lecture in class at once better have video lectures also so that we can look them when we are studying and get some more information.thank-you.,CS
This course requires some basic knowledge of Python coding not just math.,CS
So should have per-requitite or pre-requirement for this course.,CS
Though course teaching method is very good it would also really help if there will be a separate basic refresher / tutorial of linear algebra / maths relevant to the course and it corresponding python code.,CS
There good aspects to the lecturer teaching and experience but I think More preparation is required for conducting lectures. ,CS
Available resources.,CS
We should think differently to answer and its very useful.,CS
may be the information in the lectures can be elaborated.,IS
the instructor teaching methods are good.,positive
Teaching slides are not good at all.,IS
Most of them contain only bullets showing the topic but no description and details in order to understand the topic itself and in class teaching many bullets/topics have been skipped or no explanation at all.,CS
This gives students a very hard time to\nunderstand the contents and to prepare for the exam.,neutral
good teaching methods.,positive
teaching method similar to other professor and was fine but during lectures I was looking that professor to go a step further and give me more clear picture of the lecture by a demo or something.,IS
In the starting sessions I faced problems with the accent of the professor later after used to the accent I was comfortable.,IS
The resources provided were very useful to us.,positive
I am realy satisfied from the course from /teaching methods/resource materials and other sttafs.,neutral
The exam questions are too easy and not challenging at all.,CS
Instructor is excellent his way of teaching is great and he also encourage students always.,positive
The resources you provided are very helpful sir.,positive
course were deliverd in very good way.,positive
He had nice teaching methods.,positive
Need to improve more.,neutral
excellent.,positive
He had all the resources in hand both theoretical as well as the contents for practical work.,CS
well.,neutral
the teaching methods are quite practical.,positive
I think he have done to the extent for improving the course.,CS
to involve more information.,CS
Please to showing something more pratical.,CS
Excellent in delivery.,positive
methods are nice and good.,positive
All the materials and coursework provided in this subject is very relevant to my learning experience.,neutral
Maybe a laboratory would help too.,CS
I understand the course more when I do my project.,CS
I do preferred to have more assignment to help me focusing on the key point of each chapter.,CS
lecture materials and teaching methods were good.,positive
no comments/complaints here.,neutral
The weekly assignments is too much for the student who take 4 subjects in this semester.,IS
her real life examples are so specific encourages everyone to participate her teaching methods are effective.,IS
