comment,Predicted_Sentiment,Actual_Sentiment
"['please', 'give', 'a', 'chance', 'to', 'student', 'for', 'making', 'their', 'group', 'project', '.']",0,0
"['was', 'able', 'to', 'communicate', 'well', 'and', 'reach', 'my', 'expectations']",0,1
['great'],1,1
"['i', 'am', 'thankful', 'to', 'the', 'instructor', ',', 'she', 'has', 'dealt', 'the', 'subject', 'in', 'an', 'apt', 'way', 'that', 'about', 'what', 'we', 'actually', 'need', '.', 'one', 'suggestion', 'may', 'be', 'that', 'can']",0,1
"['improve', 'the', 'presenting', 'the', 'topics', 'is', 'needed', 'for', 'more', 'elaboration', 'of', 'the', 'topics', 'involved', '.']",0,0
"['she', 'teaches', 'well', 'interacts', 'well', 'with', 'students']",0,1
"['nice', 'experience', 'for', 'me', 'to', 'learn', 'lot', 'of', 'things', 'from', 'the', 'professor']",1,1
"['was', 'very', 'supportive', 'in', 'good', 'track', '.']",0,1
"['thanks', 'for', 'the', 'instructions', 'mam', '.']",0,1
"['instructor', 'is', 'so', 'good', '.', 'she', 'is', 'excellent', 'professor', 'where', 'we', 'can', 'learn', 'a', 'lot', 'and', 'discover', 'new', 'things', '.']",1,1
"['good', 'instructor']",1,1
"['instructor', 'is', 'a', 'well', 'managed', 'professor', '.', 'she', 'is', 'an', 'upgraded', 'professor', '.']",1,1
"['very', 'good', 'madam', 'and', 'student', 'friendly', 'she', 'knows', 'student', 'very', 'well']",1,1
"['she', 'is', 'very', 'well', 'organized', 'and', 'prepared', 'for', 'her', 'class', ',', 'encourages', 'everyone', 'to', 'participate', ',', 'her', 'real', 'life', 'examples', 'are', 'so', 'specific', ',', 'her', 'teaching']",0,1
"['methods', 'are', 'effective', '.']",0,1
"['she', 'is', 'expert', 'to', 'handle', 'the', 'course', '.', 'she', 'deliver', 'well', 'and', 'let', 'our', 'mind', 'blown', 'and', 'overwhelmed', 'to', 'the', 'different', 'topics', '.', 'kepp', 'it', 'up', '.']",1,1
"['the', 'instructor', 'knows', 'well', 'how', 'to', 'arrange', 'the', 'course', 'materials', 'to', 'teach', 'during', 'the', 'semester', ',', 'even', 'the', 'course', 'itself', 'is', 'content', 'of', 'many', 'other', 'courses']",0,1
"['i', 'liked', 'the', 'way', 'each', 'member', ""'s"", 'contribution', 'was', 'evaluated', 'for', 'the', 'project', 'this', 'time', '.']",0,1
"['need', 'more', 'interaction', 'in', 'class']",0,0
"['very', 'concise', 'in', 'explaining', 'the', 'subject', ',', 'however', ',', 'could', 'have', 'illustrated', 'on', 'practical', 'applications', 'of', 'every', 'topic', 'since', 'the', 'question', 'paper', 'of', 'the']",0,0
"['midterm', 'and', 'final', 'exam', 'vastly', 'concentrated', 'on', 'practical', 'applications', 'of', 'the', 'topics', 'related', 'to', 'subjects', '.']",0,0
"['she', 'is', 'very', 'good', 'and', 'interactive', 'with', 'students', '.']",1,1
"['good', 'teacher']",1,1
"['amazing', 'teaching.understands', 'every', 'student.very', 'enthusiastic.love', 'her', 'teaching', '.']",1,1
"['very', 'good', 'instructor', '.', 'she', 'always', 'has', 'a', 'practical', 'example', 'with', 'her', 'to', 'explain', 'the', 'topic', '.']",1,1
"['please', 'include', 'field', 'trips', '.']",0,0
"['all', 'is', 'the', 'best', 'and', 'i', 'appreciate', 'that', '.']",1,1
"['course', 'is', 'very', 'well', 'structured']",1,1
['none'],0,0
"['i', 'think', 'an', 'in', 'class', 'mini-project', 'should', 'be', 'considered', 'to', 'be', 'done', 'step', 'by', 'step', 'in', 'during', 'lectures']",0,0
"['this', 'course', 'is', 'a', 'good', 'subject', 'with', 'very', 'interesting', 'lectures']",1,1
"['we', 'should', 'think', 'differently', 'to', 'answer', 'and', 'its', 'very', 'useful', '.']",0,1
"['may', 'be', 'the', 'information', 'in', 'the', 'lectures', 'can', 'be', 'elaborated']",0,0
"['the', 'instructor', 'teaching', 'methods', 'are', 'good']",1,1
"['teaching', 'slides', 'are', 'not', 'good', 'at', 'all', '.', 'most', 'of', 'them', 'contain', 'only', 'bullets', 'showing', 'the', 'topic', 'but', 'no', 'description', 'and', 'details', 'in', 'order', 'to', 'understand']",0,0
"['the', 'topic', 'itself', ',', 'and', 'in', 'class', 'teaching', 'many', 'bullets/topics', 'have', 'been', 'skipped', 'or', 'no', 'explanation', 'at', 'all', '.', 'this', 'gives', 'students', 'a', 'very', 'hard', 'time', 'to']",0,0
"['understand', 'the', 'contents', 'and', 'to', 'prepare', 'for', 'the', 'exam', '.']",0,0
"['good', 'teaching', 'methods']",1,1
['none'],0,0
"['teaching', 'method', 'similar', 'to', 'other', 'professor', 'and', 'was', 'fine', ',', 'but', 'during', 'lectures', 'i', 'was', 'looking', 'that', 'professor', 'to', 'go', 'a', 'step', 'further', 'and', 'give', 'me']",0,0
"['more', 'clear', 'picture', 'of', 'the', 'lecture', 'by', 'a', 'demo', 'or', 'something', '.']",0,0
"['in', 'the', 'starting', 'sessions', 'i', 'faced', 'problems', 'with', 'the', 'accent', 'of', 'the', 'professor', 'later', 'after', 'used', 'to', 'the', 'accent', 'i', 'was', 'comfortable', '.']",0,0
"['the', 'instructor', 'was', 'really', 'helpful']",0,1
"['should', 'explain', 'every', 'bullets', 'contained', 'in', 'the', 'teaching', 'slides', 'and', 'give', 'more', 'details', 'and', 'also', 'insert', 'more', 'details', 'in', 'teaching', 'slides', 'in', 'order', 'to']",0,0
"['enable', 'students', 'to', 'study', 'or', 'review', 'by', 'themselves', '.']",0,0
"['the', 'instructor', 'should', 'arrange', 'some', 'practical', 'lab', 'in', 'her', 'subject', '.']",0,1
"['happy', 'with', 'prof']",0,1
['none'],0,0
"['nothing', 'much', 'to', 'comment', 'on', 'characteristics', 'for', 'improvement']",0,0
